process_1,process_2,process_3,process_4,process_5,process_6,Size,Wastewater,COD,NH3N,TN,TP,Cr,Cr6,HWsum
0,1,0,1,0,0,3,58142,8.41,0,0.637294877,0.1307701,28.56,28.56,21.27
1,1,0,0,0,0,3,55206,9.456,0.247862974,0.60511336,0.124166595,25,25,16.68
1,0,0,1,0,0,3,39884,15.23,0.179070515,0.437168809,0.089705113,17,17,4.5
0,0,1,0,0,0,3,80000,15.91,0.35918266,0.876880571,0.179932029,37,37,5
0,0,0,0,0,0,3,6080,1.23,0.027297882,0.066642923,0.013674834,3,3,2.2
0,0,0,0,1,0,3,104213,17.02,0.467893781,1.142279437,0.234390706,0.05,0.05,25.71
0,0,1,0,0,1,3,14584,2.12,0.065478999,0.159855328,0.032801609,6,6,4.39
0,1,0,0,0,0,3,21024,4.45,0.094393203,0.230444214,0.047286137,12,12,9.03
0,0,0,0,1,0,3,1995,0.3,0.008957118,0.021867209,0.004487055,1,1,0.97
1,0,0,0,0,1,3,46500,3.168,0.8162,0.951,0.104585492,0.31,0.31,2.95
0,0,0,1,0,0,3,16000,0.8,0.12,0.12,0.035986406,3.88,3.88,0.25
0,1,1,0,0,0,3,10000,1.64,0.07,0.07,0.022491504,4,4,20
0,0,0,1,0,0,3,2500,2.3,0.02,0.02,0.005622876,2.8,2.8,10.25
0,0,0,0,0,0,3,8000,0.36,0.05,0.05,0.017993203,0.56,1.905088087,2
0,0,1,0,0,0,3,15009,1.2007,0.2251,0.3001,0.015,0.015,0.015,3
