process_1,process_2,process_3,process_4,process_5,process_6,Size,Wastewater,COD,NH3N,TN,TP,Cr,Cr6,HWsum
0.994973796,1.002241672,1.011163432,-0.010233401,0.987856964,1.004217708,3.006117193,122294.8635,5.561348452,0.780581102,1.177913598,0.021933612,77.04654474,11.81990097,640.6369459
0.999293603,0.000928943,1.012141541,1.000930825,-0.007111895,1.003970848,2.992209538,152486.2633,7.489576071,0.556044588,1.288321556,0.114355289,16.51314891,18.67999942,2123.95399
1,1,0,1,0,1,3,123371.2266,6.451214896,0.758294229,1.582013496,0.471650104,4.34692223,4.907381549,2739.291497
1,1,1,0,0,0,3,71960.98984,8.459353029,0.643788454,0.954224366,0.201621903,7.64699336,1.328674184,548.1187197
1.007350576,0.024239091,0.98960199,0.998178685,1.010190152,1.003434892,2.99866288,216671.374,11.06278776,1.11597989,2.615420844,0.143073484,109.7728374,7.382598597,547.8460706
0.988482106,-0.000644363,0.98440109,0.000980784,0.009744074,1.005475793,3.007579785,57409.50127,2.686108924,0.127365517,0.755390314,0.006002638,0.708030505,0.419569443,802.7129668
0.984785613,-0.008443321,1.001540834,-0.008094184,0.994547473,-0.00813423,3.00130426,66404.29934,6.632325464,0.351193656,0.903239001,0.095280587,3.482162461,7.926582298,756.2619424
0.995944561,0.99169589,-0.011410631,1.00907493,0.990676937,1.006711372,3.010039234,49480.65614,3.674501429,0.520671596,1.157756562,0.229017983,9.243882909,2.640119405,1469.090886
1.005097212,1.009638089,0.022603095,0.001964899,0.994558303,0.999222561,1.988381117,8671.935804,0.200397161,0.051834518,0.141522077,-0.004358876,1.695623159,0.3108,1406.90268
0.003268734,0.986386841,0.014056185,0.991209275,-0.00478727,0.001642257,2.997593718,69353.2862,7.40155933,0.808593282,3.075974362,0.036785599,1.748264604,2.207867524,707.9138902
1,1,1,0,0,0,3,49665.61536,4.733635914,0.651472358,0.94980212,0.070253753,0.601850363,0.600859842,624.4204711
1,1,1,0,0,0,3,179458.5715,14.40705691,0.165555843,0.846930552,0.009009914,3.863000418,3.863000418,618.8990925
1.005342024,0.996336542,0.989807718,1.013573209,-0.002785548,1.005501308,3.00248893,61037.5453,4.523923471,1.102100055,3.412850695,0.283949926,2.8005962,2.975015909,927.3686257
1,1,0,1,0,1,3,124863.0168,11.72545305,1.48373983,2.502572473,0.170826073,13.78899778,14.01559646,1819.278888
-0.013060736,1.007362614,1.010411301,0.006130498,-0.008083227,1.010703344,3.005206497,37992.99651,4.43219385,0.249405985,0.234519463,0.036587571,0.737692213,0.090877282,337.9260393
1,1,0,0,0,0,2,53639.78826,6.756281274,0.87598227,1.797777162,0.107816939,15.37857283,10.37590002,887.1968157
1,1,1,0,0,1,3,48711,3.89,0.308678644,0.953302896,0.162961292,20.49,4.09,483.9
