process_1,process_2,process_3,process_4,process_5,process_6,Size,Wastewater,COD,NH3N,TN,TP,Cr,Cr6,HWsum
1,0,1,0,0,1,3,20430,2.0344,0.381,0.4,0.02,25.43,25.43,400.99
1,0,1,0,0,1,3,16200,6.28,0,0.108,0,21.7,21.7,364.825
1,0,0,0,0,0,3,2700,0.4,0,0.03701116,0.002743505,1.24,1.24,0.7
1,1,0,0,1,0,3,40000,9.84,0,0.548313485,0.040644522,17.98,17.98,104.54
1,0,1,0,0,0,3,3000,0.44,0,0.041123511,0.003048339,1.35,1.35,95.324
1,0,0,0,1,1,3,23760,5.3,0,0.249,0,5.15,5.15,547.75
0,0,0,1,0,1,3,21114,8.79,0.034,0.034,1.00E-04,0,0,492.12
1,0,1,0,0,1,3,71070,7.09,0.9,2.7,0,1.066,0.71,469.46
1,0,1,0,1,0,3,1160000,232,9.2,9.2,0,1.5,0.375,11888.9
0,1,1,0,0,0,3,27000,7.2,0,0,0,0,0,65.64
0,0,0,1,0,0,3,12000,3.6,0.01,0.01,0,0,0,94.44
1,1,0,1,0,1,3,86477,8.3104,1.1242,1.5245,0.1271,2.1619,10.23532623,925.97
1,1,0,1,0,1,3,14051,1.3503,0.1826,0.2476,0.0206,0.3511,1.663061495,206.74
1,1,1,0,0,1,3,87840,8.4414,1.1419,1.5486,0.1291,12.0516,10.39664947,2921.698
1,0,1,0,0,0,3,28360,2.72,0.13908835,0.388754261,0.042,1.79,3.356659598,329.95
1,0,0,0,0,0,3,1371,0.13,0.018,0.024,0.002,0.11,0.16227011,6.37
1,0,0,0,0,1,3,4500,0.43,0.05,0.08,0.007,0.135,0.532615239,5
1,0,1,0,1,0,3,66104,6.35,0.324199445,0.906142866,0.1,3.3,7.823999508,756.334
1,1,0,1,0,1,3,136697,13.14,1.78,2.41,0.2,16,16.17931231,2004
1,0,1,1,0,1,3,156212,7.55,0.58,1.27,0.115,16.89,18.48908706,2129.58
1,0,0,0,1,1,3,40940,3.93,0.53,0.72,0.06,125.2,4.845615089,971.02
1,1,0,0,1,0,3,87000,8.361,1.131,1.534,0.128,14.60619719,10.29722796,444
0,1,0,0,1,0,3,7200,0.692,0.094,0.127,0.011,1.208788733,0.852184383,111.423
1,1,1,1,0,1,3,52171,5.01,0.678,0.92,0.053011634,8.75884958,6.174904368,350.06
0,1,0,1,0,0,3,11050,1.062,0.144,0.195,0.016,1.85515493,1.30786631,50.532
1,0,0,1,0,1,3,244900,23.535,3.184,4.318,0.36,6.81,28.98610492,2847.07
0,0,0,1,0,0,3,187,0.018,0.002,0.003,3.00E-04,8.00E-04,8.00E-04,0.73
