industry,staff,process_1,process_2,process_3,process_4,process_5,process_6,process_7,process_8,process_9,process_10,process_11,COD,pH,water,N,P,NH3N,Cr6,Cr,Fe,Cu,Ni,Zn,HW17,HWsum
2614,2,0,0,0,0,0,1,1,0,0,0,0,0,0,5.906,0,0,0,0,0,0,0,0,0,0,323.39
2614,3,0,0,0,0,1,1,1,0,0,0,0,419.8657,7.891245161,2800.3413,0,0,0.787,0,0,0,0,0,0,0,132.244
2614,3,0,0,0,0,1,1,1,0,0,0,0,343.79,7.809677419,2909.91,0,0,1.46,0,0,0,0,0,0,0,215.223
2614,3,0,0,0,0,1,1,1,0,0,0,0,471.85,7.812,2504.5,0,0,1.02,0,0,0,0,0,0,0,151.23
2614,3,0,0,0,0,1,1,1,0,0,0,0,974.66,7.59483871,3467.46,0,0,0.47,0,0,0,0,0,0,0,134.5105
2614,3,0,0,0,0,1,1,1,0,0,0,0,1329.9,7.145333333,2569.55,0,0,0.27,0,0,0,0,0,0,0,133.1975
2614,3,0,0,0,0,1,1,1,0,0,0,0,1905.9,7.380967742,4687.03,0,0,1.51,0,0,0,0,0,0,0,144.886
2614,3,0,0,0,0,1,1,1,0,0,0,0,1613.7,7.463634419,1697.35,0,0,4.62,0,0,0,0,0,0,0,114.48
2614,4,0,0,0,0,1,1,1,0,1,0,0,59.33,0,308.338,0,0,1.495,0,0,0,0,0,0,0,471.65
2614,4,0,0,0,0,1,1,1,0,1,0,0,1167.829,0,5172.359,0,0,8.934,0,0,0,0,0,0,0,421.85
2614,4,0,0,0,0,1,1,1,0,1,0,0,959.301,0,4500.934,0,0,12.995,0,0,0,0,0,0,0,647.626
2614,4,0,0,0,0,1,1,1,0,1,0,0,1423.841,0,6001.11,0,0,20.719,0,0,0,0,0,0,0,651.766
2614,4,0,0,0,0,1,1,1,0,1,0,0,1173.374,0,7763.918,0,0,26.98,0,0,0,0,0,0,0,490.826
2614,4,0,0,0,0,1,1,1,0,1,0,0,1509.202,0,6246.183,0,0,13.206,0,0,0,0,0,0,0,984.964
2614,4,0,0,0,0,1,1,1,0,1,0,0,956.371,0,3975.735,0,0,4.505,0,0,0,0,0,0,0,674.145
2614,4,0,0,0,0,1,1,1,0,1,0,0,1172.12,0,4907.141,0,0,11.766,0,0,0,0,0,0,0,845.553
2614,4,0,0,0,0,1,1,1,0,1,0,0,1016.773,0,4401.735,0,0,25.81,0,0,0,0,0,0,0,452.089
2614,4,0,0,0,0,1,1,1,0,1,0,0,964.318,0,4298.506,0,0,21.776,0,0,0,0,0,0,0,639.847
2614,4,0,0,0,0,1,1,1,0,1,0,0,530.518,0,3775.449,0,0,20.552,0,0,0,0,0,0,0,480.127
2614,4,0,0,0,0,1,1,1,0,1,0,0,1130.823,0,4919.992,0,0,19.104,0,0,0,0,0,0,0,602.315
2614,4,0,0,0,0,1,1,1,0,1,0,0,2330.632,0,8962.484,0,0,36.639,0,0,0,0,0,0,0,768.464
2614,4,0,0,0,0,1,1,1,0,1,0,0,685.815,0,3134.482,0,0,20.923,0,0,0,0,0,0,0,1307.464
2614,4,0,0,0,0,1,1,1,0,1,0,0,888.539,0,3790.338,0,0,8.239,0,0,0,0,0,0,0,1147.76
2614,4,0,0,0,0,1,1,1,0,1,0,0,923.536,0,3874.85,0,0,11.17,0,0,0,0,0,0,0,645.956
2614,4,0,0,0,0,1,1,1,0,1,0,0,797.158,0,3949.346,0,0,12.194,0,0,0,0,0,0,0,464.153
2614,4,0,0,0,0,0,0,1,0,0,1,0,62.8343,0,1621.3334,0,0,0,0,0,0,0,0,0,0,7.1827
2614,4,0,0,0,0,0,0,1,0,0,1,0,83.5387,0,4440.3129,0,0,0,0,0,0,0,0,0,0,18.1761
2614,4,0,0,0,0,0,0,1,0,0,1,0,6.3767,0,1521.7744,0,0,0,0,0,0,0,0,0,0,1.1942
2614,4,0,0,0,0,0,0,1,0,0,1,0,5.3882,0,109.1008,0,0,0,0,0,0,0,0,0,0,3.728
2614,4,0,0,0,0,0,0,1,0,0,1,0,4.3915,0,509.5393,0,0,0,0,0,0,0,0,0,0,1.4912
2614,4,0,0,0,0,0,0,1,0,0,1,0,4.014,0,459.4297,0,0,0,0,0,0,0,0,0,0,3.9413
2614,4,0,0,0,0,0,0,1,0,0,1,0,11.945,0,1332.1306,0,0,0,0,0,0,0,0,0,0,1.5158
2614,4,0,0,0,0,0,0,1,0,0,1,0,16.4671,0,1050.7307,0,0,0,0,0,0,0,0,0,0,5.1021
2614,4,0,0,0,0,0,0,1,0,0,1,0,11.8308,0,921.3639,0,0,0,0,0,0,0,0,0,0,12.2
2614,4,0,0,0,0,0,0,1,0,0,1,0,18.917,0,1018.3851,0,0,0,0,0,0,0,0,0,0,0.6097
2614,2,0,0,0,0,1,1,1,0,1,0,0,1636.457,7.328826533,10680.138,0,0,0,0,0,0,0,0,0,0,16.985
2614,2,0,0,0,0,1,1,1,0,1,0,0,4169.433,6.91476246,4648.575,0,0,0,0,0,0,0,0,0,0,4.104
2614,2,0,0,0,0,1,1,1,0,1,0,0,23.033,7.019516129,1160.46,0,0,0,0,0,0,0,0,0,0,2.165
2614,2,0,0,0,0,1,1,1,0,1,0,0,1692.202,7.695666667,8798.626,0,0,0,0,0,0,0,0,0,0,0.604
2614,2,0,0,0,0,1,1,1,0,1,0,0,384.732,7.85983871,8924.086,0,0,0,0,0,0,0,0,0,0,0.1475
2614,2,0,0,0,0,1,1,1,0,1,0,0,506.853,7.882741935,10370.637,0,0,0,0,0,0,0,0,0,0,24.65
2614,2,0,0,0,0,1,1,1,0,1,0,0,567.313,8.139,13927.071,0,0,0,0,0,0,0,0,0,0,51.8
2614,2,0,0,0,0,1,1,1,0,1,0,0,1771.005,8.045967742,9835.727,0,0,0,0,0,0,0,0,0,0,23.37
2614,2,0,0,0,0,1,1,1,0,1,0,0,473.789,7.943965517,9237.709,0,0,0,0,0,0,0,0,0,0,1.515
2614,2,0,0,0,0,1,1,1,0,1,0,0,404.422,7.623709677,9962.764,0,0,0,0,0,0,0,0,0,0,54.5585
2614,4,0,0,0,0,1,0,0,0,0,0,0,222.2178,0,737.3029,0,0,0,0,0,0,0,0,0,0,202.285
2614,4,0,0,0,0,1,0,0,0,0,0,0,277.7222,0,1130.3477,0,0,0,0,0,0,0,0,0,0,334.668
2614,4,0,0,0,0,1,0,0,0,0,0,0,376.2203,0,1681.7888,0,0,0,0,0,0,0,0,0,0,355.5097
2614,4,0,0,0,0,1,0,0,0,0,0,0,331.1123,0,1143.6769,0,0,0,0,0,0,0,0,0,0,279.017
2614,4,0,0,0,0,1,0,0,0,0,0,0,400.3099,0,1214.9993,0,0,0,0,0,0,0,0,0,0,235.078
2614,4,0,0,0,0,1,0,0,0,0,0,0,478.6592,0,1376.8927,0,0,0,0,0,0,0,0,0,0,227.162
2614,4,0,0,0,0,1,0,0,0,0,0,0,490.5163,0,1370.3412,0,0,0,0,0,0,0,0,0,0,256.099
2614,3,0,0,0,0,0,0,1,0,0,1,0,231.9156,6.915,1599.7099,0,0,31.924,0,0,0,0,0,0,0,1.1449
2614,3,0,0,0,0,0,0,1,0,0,1,0,274.7073,7.472666667,4577.5644,0,0,76.7258,0,0,0,0,0,0,0,1.3444
2614,3,0,0,0,0,0,0,1,0,0,1,0,440.858,7.179858065,7763.7576,0,0,118.9488,0,0,0,0,0,0,0,0.5682
2614,3,0,0,0,0,0,0,1,0,0,1,0,299.126,7.237419355,5248.835,0,0,79.1402,0,0,0,0,0,0,0,1.6846
2614,3,0,0,0,0,0,0,1,0,0,1,0,508.8461,7.347953333,4124.0741,0,0,68.8832,0,0,0,0,0,0,0,2.1415
