industry,time,staff,process_1,process_2,process_3,process_4,process_5,process_6,process_7,process_8,process_9,process_10,process_11,COD,pH,water,N,P,Cu,Ni,Fe,NH3N,HW17,HWsum
2669,202011,2,0,0,0,0,1,1,0,0,1,0,0,392.4,8.716333333,3209.59,49.83869859,2.106797492,0.031478824,0.078104821,0,10.11547444,0,95.946
2669,202201,2,0,0,0,0,1,1,0,0,1,0,0,478.6,8.716333333,3009.05,46.7247019,1.975161623,0.029511979,0.073224714,0,9.48344442,0,96.375
2669,202004,1,0,0,0,0,1,0,0,0,1,0,0,2.714,6.999903333,81.9516,1.27254917,0.0002,0.00080376,0.001994278,0,0.0472,0,0.75
2669,202001,1,0,0,0,0,1,0,0,0,1,0,0,10.0932,7.236363636,280.0088,4.347992792,0.02,0.002746253,0.006813966,0,0.0911,0,0.793
2669,202003,1,0,0,0,0,1,0,0,0,1,0,0,3.6658,7.068064516,102.6948,1.594650776,0.0003,0.001007204,0.00249906,0,0.0041,0,0.813
2669,202005,1,0,0,0,0,1,0,0,0,1,0,0,1.26,7.08516129,52.01,0.807614279,0.000103428,0.000510101,0.001265654,0,0.07,0,1.561
2669,202208,3,0,0,0,0,0,0,1,0,1,0,0,172.42,7.66516129,2338.1,36.30615162,1.534745315,0.022931476,0.056897261,0,6.96,0,837.649
2669,202204,3,0,0,0,0,0,0,1,0,1,0,0,106.69,7.421,1406.93,21.84689016,0.923518766,0.013798803,0.0342374,0,10.19,0,965.633
2669,202202,3,0,0,0,0,0,0,1,0,1,0,0,324.17,7.421,1976.69,30.6941563,1.297513245,0.019386861,0.048102411,0,9.6,0,1048.959
2669,202211,3,0,0,0,0,0,0,1,0,1,0,0,175.05,7.419333333,1958.72,30.4151171,1.28571761,0.019210616,0.047665114,0,5.08,0,1123.097
2669,202107,3,0,0,0,0,0,0,1,0,1,0,0,517.37,7.421,2396.8,37.2176486,1.573276409,0.023507191,0.058325716,0,10.73,0,1172.6205
2669,202111,3,0,0,0,0,0,0,1,0,1,0,0,342.81,7.421,2045.98,31.77009541,1.342995689,0.020066439,0.049788571,0,14.56,0,1900.219
2669,202009,3,0,0,0,0,0,0,1,0,1,0,0,874.24,7.421,2987,46.38230823,1.960687848,0.029295719,0.072688131,0,11.41,0,1906.91
2669,202203,2,0,0,0,0,1,1,1,0,0,1,0,358.52,7.650322581,2296,35.65242039,1.507110579,0.022518571,0.055872765,0,14.96,0,264.113
2669,202202,3,0,0,0,0,1,1,1,0,0,1,0,828.587739,6.955,7930,123.1374972,5.205307878,0.077775376,0.192975186,0,90.256958,0,240.237
2669,202204,3,0,0,0,0,1,1,1,0,0,1,0,987.446254,7.152333333,9363,145.3892039,6.145939176,0.091829868,0.227846995,0,171.098471,0,345.511
2669,202201,3,0,0,0,0,1,1,1,0,0,1,0,1452.775442,6.961612903,14119,219.2406461,9.267811089,0.138475478,0.343583437,0,202.667941,0,436.8
2669,202108,3,0,0,0,0,1,1,1,0,0,1,0,1754.64,7.00516129,16473,255.7936938,10.81299328,0.161562897,0.400867622,0,192.08,0,450.63
2669,202107,3,0,0,0,0,1,1,1,0,0,1,0,1466.04,7.042580645,16346,253.8216305,10.72962958,0.160317315,0.397777099,0,168.14,0,418.139
2669,202111,3,0,0,0,0,1,1,1,0,0,1,0,1115.305701,7.019,12094,187.7963293,7.93858682,0.118614805,0.29430541,0,133.86525,0,395.799
2669,202206,3,0,0,0,0,1,1,1,0,0,1,0,1104.203727,7.129,11865,184.2404041,7.788269606,0.116368833,0.288732734,0,110.921532,0,305.592
2669,202210,2,0,0,0,0,0,1,1,0,0,0,0,98.5,6.569354839,2952.9,45.85280147,1.938304367,0.028961275,0.071858314,0,9.306479796,0,1.854
2669,202203,2,0,0,0,0,0,1,1,0,0,0,0,183.1,7.430322581,6613.95,102.701797,4.341443385,0.064867901,0.160949336,0,20.84479395,0,6.09
2669,202111,5,0,0,0,0,1,1,1,1,1,0,0,6489.098,7.490666667,20675.284,221.5983546,17.31755203,0.202777805,0.50312948,0,41.127,0,184.9605
2669,202012,5,0,0,0,0,1,1,1,1,1,0,0,7826.086,7.514210526,21130.127,226.4733764,17.69852707,0.207238787,0.514198006,0,40.74231466,0,526.121
2669,202204,5,0,0,0,0,1,1,1,1,1,0,0,8348.189,7.8868,21907.945,234.8100545,1.785,0.214867424,0.533126074,0,33.888,0,684.7955
2669,202209,5,0,0,0,0,1,1,1,1,1,0,0,5108.409,8.047333333,17983.483,192.7475454,20.136,0.176377322,0.437624966,0,30.295,0,751.14
2669,202205,5,0,0,0,0,1,1,1,1,1,0,0,7977.872,7.908387097,22951.201,245.9917057,7.591,0.225099407,0.558513529,0,40.128,0,756.726
2669,202106,5,0,0,0,0,1,1,1,1,1,0,0,8581.265,7.222333333,24375.647,261.2589634,20.41696429,0.239070003,0.593177177,0,44.679,0,1237.049
2669,202011,5,0,0,0,0,1,1,1,1,1,0,0,5291.464,7.514210526,14553.603,155.985982,12.19005152,0.142737951,0.354159426,0,28.0617089,0,593.02
2669,202206,2,0,0,0,0,1,0,1,0,0,0,0,357.904,8.065333333,8901.835,138.2282072,5.84322722,0.087306881,0.216624624,0,28.05538541,0,9.759
2669,202011,2,0,0,0,0,1,0,1,0,0,0,0,617.264,8.238666667,2662.366,41.34137276,1.747595803,0.026111793,0.064788219,0,8.390821019,0,25.788
2669,202210,2,0,0,0,0,1,0,1,0,0,0,0,580.995,7.922258065,2662.237,41.33936964,1.747511126,0.026110528,0.06478508,0,8.390414457,0,31.249
2669,202212,2,0,0,0,0,1,1,1,0,0,0,0,293.409,8.46,1407.296,21.85257343,0.923759011,0.013802393,0.034246306,0,3.351,0,0.724
2669,202203,2,0,0,0,0,1,1,1,0,0,0,0,505.343,7.55483871,3120.281,48.45190328,2.048174435,0.030602904,0.075931501,0,21.671,0,21.589
2669,202008,2,0,0,0,0,1,1,1,0,0,0,0,580.836,8.142634409,2650.69,41.16006716,1.739931594,0.025997278,0.064504085,0,16.77416165,0,31.478
2669,202011,2,0,0,0,0,1,1,1,0,0,0,0,286.125,8.142634409,2137.983,33.1987233,1.403387106,0.020968781,0.052027449,0,13.52963661,0,36.256
2669,202210,2,0,0,0,0,1,1,1,0,0,0,0,1158.897,7.900645161,5457.912,84.75077224,3.582611896,0.053529781,0.13281735,0,14.282,0,39.747
2669,202104,2,0,0,0,0,1,1,1,0,0,0,0,553.513,8.142,2831.154,43.96232256,1.858389435,0.027767222,0.068895646,0,3.208,0,111.335
2669,202103,2,0,0,0,0,1,1,1,0,0,0,0,549.993,7.878064516,3039.338,47.19501571,1.99504288,0.029809036,0.073961767,0,0.763,0,118.2575
2669,202208,1,0,0,0,0,1,0,1,0,0,0,0,13.167,7.559333333,112.083,1.740431287,0.073572071,0.001099281,0.002727521,0,0.843645763,0,1.433
