industry,staff,process_1,process_2,process_3,process_4,process_5,process_6,process_7,process_8,process_9,process_10,process_11,COD,pH,water,N,P,NH3N,Fe,Ni,HW17,HWsum
2614,1,0,0,0,0,1,0,1,0,1,0,0,37.314,6.815483871,350.785,2.26625692,0.115475528,6.617,0,0,0,16.4
2614,1,0,0,0,0,1,0,1,0,1,0,0,45.369,6.996129032,442.537,2.859023443,0.14567953,5.006,0,0,0,20.36
2614,1,0,0,0,0,1,0,1,0,1,0,0,30.9967,7.321935484,267.84,1.730388282,0.088170719,4.389,0,0,0,20.37
2614,3,0,0,0,0,1,0,0,0,1,1,0,1877.135,7.374814815,30241.637,635.8452417,2.164360161,264.012,0,0,0,18.884
2614,3,0,0,0,0,1,0,0,0,1,1,0,568.392,7.36516129,17445.356,366.7971612,1.248544632,64.971,0,0,0,20.845
2614,3,0,0,0,0,1,0,0,0,1,1,0,3676.327,7.833870968,40785.258,857.5300415,2.918955333,573.779,0,0,0,21.551
2614,3,0,0,0,0,1,0,0,0,1,1,0,2187.372,7.201428571,51072.552,1073.82544,3.655205467,213.549,0,0,0,25.296
2614,3,0,0,0,0,1,0,0,0,1,1,0,1425.388,7.015666667,34875.766,292.344,0.96,322.668,0,0,0,26.188
2614,3,0,0,0,0,0,1,0,0,0,0,0,1047.5,7.681281834,11193.41,72.31535803,3.684778235,23.24006238,0,0,0,1.227
2614,3,0,0,0,0,0,1,0,0,0,0,0,1863.3,7.681281834,15291.91,98.79383911,5.033970625,31.74947959,0,0,0,3.202
2614,3,0,0,0,0,0,1,0,0,0,0,0,808,7.681281834,16933.99,109.4025458,5.574529815,35.15881076,0,0,0,3.894
2614,3,0,0,0,0,0,1,0,0,0,0,0,2371.8564,7.681281834,20079.75,129.7258217,6.610088057,41.69012326,0,0,0,6.266
2614,3,0,0,0,0,0,1,0,0,0,0,0,921.6,7.788076923,10325.77,66.70994402,3.399158304,19.73,0,0,0,6.759
2614,2,0,0,0,0,1,1,1,0,1,1,1,123.7,7.564535843,430,2.778027782,0.141552453,0.839740862,0,0,0,2.08
