industry,time,staff,process_1,process_2,process_3,process_4,process_5,process_6,process_7,process_8,process_9,process_10,process_11,COD,pH,Cr6,water,N,P,Cu,Cr,Zn,Fe,Ni,NH3N,HW17,HWsum
3340,202111,2,0,1,0,0,0,0,0,0,0,0,0,319.5,6.953333333,0.034565472,5937,48.83974275,0.769754239,0.875265598,0.158150222,0.056710739,0,0.136229909,1.424359175,8.201,106.432
3340,202002,5,0,0,1,0,0,0,0,0,1,1,0,80.76,7.114827586,0.029491386,5065.47,41.6702462,0.291587859,0.746779792,0.134934345,0.048385809,0,0.116231854,0.13,43.2,83.2
3340,202206,5,0,0,1,0,0,0,0,0,1,1,0,115.06,8.135,0.059584947,10234.37,84.19134209,1.78,1.508807811,0.272623865,0.09775959,0,0.234837004,1.17,44.75,104.75
3340,202003,5,0,0,1,0,0,0,0,0,1,1,0,142.74,6.895806452,0.035448909,6088.74,50.08800661,0.3504912,0.897635953,0.162192283,0.058160173,0,0.139711722,2.64,49.4,114.6
3340,202204,5,0,0,1,0,0,0,0,0,1,1,0,75.61,7.599022233,0.046965493,8066.84,66.36051716,1.19,1.189258469,0.214885049,0.077055155,0,0.185101041,3.01,42.301,134.561
3340,202203,5,0,0,1,0,0,0,0,0,1,1,0,71.12,7.444301839,0.051954693,8923.79,73.41007376,1.32,1.31559481,0.237712543,0.085240816,0,0.204764544,4.53,80.277,225.077
3340,202204,4,0,1,0,0,0,0,0,0,0,1,1,74.95425815,7.443790067,0.016255145,2792,22.96792349,0.361993235,0.411612186,0.074373492,0.026669426,0,0.064065,0.669835071,0,3
3340,202004,3,0,0,0,0,0,0,0,0,0,1,0,17.44688,7.717888889,0.004838118,831,6.836083244,0.107742256,0.122510647,0.022136236,0.007937784,0,0.019068057,0.1993671,48.26,263.26
3340,202006,3,0,0,0,0,0,0,0,0,0,1,0,26.03123,7.717888889,0.008430319,1448,11.91173109,0.187738612,0.213472223,0.038571925,0.013831422,0,0.033225688,0.347392974,37.09,272.09
3340,202210,3,0,0,0,0,0,0,0,0,0,1,0,43.6275,7.539032258,0.006316917,1085,8.925571986,0.140674305,0.159956741,0.028902306,0.010364014,0,0.02489632,0.260304818,65.555,343.911
3340,202207,3,0,0,0,0,0,0,0,0,0,1,0,26.08265,7.850967742,0.008686489,1492,12.27368977,0.193443376,0.219958948,0.039744001,0.014251713,0,0.034235308,0.357949114,64.493,350.551
3340,202111,3,0,0,0,0,0,0,0,0,0,1,0,35.33742,7.574,0.011649909,2001,16.46089359,0.259437129,0.294998562,0.053302778,0.019113726,0,0.04591478,0.480064462,76.175,375.643
