"","staff","process_1","process_2","process_3","process_4","process_5","process_6","process_7","process_8","process_9","process_10","process_11","COD","pH","Cr6","water","N","P","Cu","Cr","Zn","Ni","NH3N","HWsum"
"293","3","0","0","1","0","0","0","0","0","0","1","0",61.10015282,7.443790067,0.01325064,2275.9431,18.72266726,0.295084529,0.335532204,0.060626732,0.021740006,0.052223601,0.546026686,150.378
"463","2","1","1","1","0","0","0","0","0","0","1","0",140.1243,7.734516129,0.03458594,5940.5157,48.86866407,0.8243,0.875783902,0.158243873,0.056744321,0.13631058,1.425202635,95.44
"189","2","0","1","0","0","0","0","0","0","1","0","0",16.13116845,7.433548387,0.003498327,600.8761,4.943007267,0.077905832,0.0885845,0.01600618,0.005739621,0.013787653,0.144157552,55.44
"265","4","1","1","1","0","0","0","0","0","0","1","0",183.5556788,7.443790067,0.039807268,6837.3361,56.24620788,0.88648618,1.007998159,0.182133438,0.065310827,0.156888946,1.640360857,209.205
"128","3","1","0","1","0","0","0","0","0","0","1","0",53.70130041,7.443790067,0.011646069,2000.3404,16.4554675,0.259351609,0.29490132,0.053285208,0.019107425,0.045899645,0.479906216,160.84
"69","2","1","0","1","0","0","0","0","0","0","0","0",853.38,7,0.088993718,15285.65,125.7448566,1.981841652,6.41,0.407180216,0.146009855,0.350743255,3.667215063,94.38
"250","2","1","0","1","0","0","0","0","0","0","1","0",6.2564,7.443790067,3e-04,66.1293,0.2618,0.0084,0.0227,4e-04,0.0217,0.0019,0.015865231,18.3545
"327","3","0","0","1","0","0","0","0","0","0","1","0",5.0659575,7.443790067,0.001098642,188.7038,1.552340416,0.024466153,0.027819765,0.005026705,0.001802515,0.004329982,0.045272358,99.22
"321","2","1","0","0","1","0","0","0","0","0","1","0",6.128219341,7.443790067,0.001329012,228.2724,1.87784492,0.02959637,0.033653188,0.006080736,0.002180478,0.00523792,0.054765351,32.227
"359","2","0","1","1","0","0","0","0","0","0","1","0",3.974991829,7.443790067,0.000862047,148.066,1.218040315,0.01919731,0.021828714,0.003944192,0.001414339,0.00339751,0.035522851,17.38
