"","staff","process_1","process_2","process_3","process_4","process_5","process_6","process_7","process_8","process_9","process_10","process_11","COD","pH","water","N","P","Cu","Ni","NH3N","HWsum"
"260","1","0","0","0","0","1","0","0","0","0","0","0",0.03,7.641,1.84,0.028571626,0.001207789,1.8e-05,4.48e-05,0.005799019,3.579
"628","1","0","0","0","0","1","0","1","0","0","0","0",7.138,7.559333333,66.903,1.038873642,0.043915601,0.000656167,0.001628073,0.503577104,2.947
"123","2","0","0","0","0","1","1","0","0","0","0","0",104.12577,7.510666667,1082,16.80135839,0.710232424,0.010611974,0.026330284,3.410075227,53.812
"661","1","0","0","0","0","1","0","1","0","0","0","0",12.26343,7.641,426,6.614952563,0.279629402,0.004178097,0.010366637,1.342598934,5.52
"860","2","0","0","0","0","0","1","0","0","1","1","0",64.5,7.25,1131,17.56223321,0.427464864,0.011092554,0.02752269,5.855472434,121.08
"52","4","0","0","0","0","1","0","0","0","0","1","0",4345.092082,7.641,22100,343.1700743,14.50659573,0.216751049,0.537799699,69.65125926,7.1
"770","3","0","0","0","0","1","0","1","0","1","1","0",6705.334,8.519835767,23636.04,367.021792,25.0462,0.23181613,0.575178968,344.817,32.687
"888","3","0","0","0","0","1","1","1","0","0","1","0",12.3,7.076666667,302.5,4.697237442,0.198563132,0.002966841,0.007361285,1.46,122.4424
"222","3","0","1","0","0","1","0","1","0","1","1","0",11.6192,6.941290323,123.6815,5.74695,0.009447,0.001213036,0.003009768,0.080311,6.418
"525","2","0","0","0","0","1","1","1","0","0","1","0",72.47,7.875483871,1295,20.10883467,0.850047125,0.012701023,0.031513602,6.69,144.954
"271","3","0","0","0","0","1","0","0","0","0","0","0",277.48,7.641,1025.82,15.92899211,0.673355476,0.010060976,0.024963153,13.69,0.305
"488","2","0","0","0","0","1","1","0","0","1","0","0",892.4,8.869354839,3228.61,50.13404224,2.119282354,0.031665367,0.078567669,10.17541865,84.131
"487","2","0","0","0","0","1","1","0","0","1","0","0",708.4,8.761462571,3198.16,49.66121289,2.09929476,0.031366721,0.077826674,10.07945119,61.236
"898","3","0","0","0","0","1","1","1","0","0","1","0",11.7,7.559354839,596.88,9.268387056,0.391796238,0.005854044,0.014524972,3.69,192.5314
"189","4","0","0","0","0","1","0","0","0","0","0","0",187.114176,8.202352941,4384,68.07500478,2.877688492,0.042997131,0.106683886,6.709873692,41.396
"13","2","0","0","0","0","0","0","1","0","0","0","0",338.16,7.641,22003.82,341.6765857,14.4434625,0.215807741,0.535459175,69.34813446,17.074
"261","1","0","0","0","0","0","1","0","0","0","0","0",85.23,7.506129032,2712.63,0.631,0.086,0.026604769,0.066011385,1.15,55
"484","2","0","0","0","0","1","1","0","0","1","0","0",361.5,8.716333333,2309.66,35.86453366,1.516077099,0.022652544,0.056205179,7.279218438,23.638
"733","3","0","0","0","0","0","0","1","0","1","1","0",0.93,7.386451613,38,0.590066191,0.04,0.000372694,0.000924723,0.03,18.794
"651","2","0","0","0","0","1","0","0","0","0","1","0",94.34484,7.641,798,12.39139001,0.523812823,0.007826576,0.019419193,2.515009271,14.129
"82","2","0","1","1","0","0","0","0","0","1","0","0",14.96716561,7.641,178.092,2.765422845,0.116900844,0.00174668,0.004333838,0.561281994,2.392
"168","4","0","0","0","0","0","0","1","0","0","0","0",12885.018,6.8892,29187.796,453.2297793,19.15907496,0.286266308,0.710279996,124.217,37.233
"209","4","0","0","0","0","1","0","0","0","0","0","0",934.465153,6.646842105,4967,77.1278624,3.2603738,0.048715044,0.120871091,6.397323,96.113
"889","3","0","0","0","0","1","1","1","0","0","1","0",8.8,7.479677419,215.87,3.352041807,0.141698589,0.002117197,0.005253159,0.51,130.3862
"455","1","0","1","0","0","1","1","0","0","0","0","0",10.1886,6.951,347.7822,5.400382055,0.228286687,0.003410957,0.00846322,1.3156,44
"695","1","0","0","0","0","0","1","0","0","1","1","0",11.777331,7.135666667,274,4.254687799,0.179855531,0.002687321,0.006667743,0.156888,3.728
"65","4","0","0","0","0","1","0","0","0","0","1","0",2405.960329,7.641,20148,312.8593057,13.22528917,0.197606341,0.490298115,63.49925664,34.57
"145","3","0","0","0","0","1","1","0","0","0","0","0",1230.666,8.008387097,6521.282,101.2628429,4.280615457,0.063959037,0.158694276,18.911,59.5065
"205","4","0","0","0","0","1","0","0","0","0","0","0",512.348148,8.384798419,6811,105.7616007,4.470788393,0.066800516,0.165744514,10.42448671,82.829
"19","2","0","0","0","0","0","0","1","0","0","0","0",521.75,7.641,21980.73,341.3180429,14.42830606,0.21558128,0.534897284,69.27536308,102.79
"98","1","0","0","0","0","1","1","0","0","1","1","1",14.11,7.641,49,0.760874825,0.032163945,0.000480579,0.001192407,0.154430394,4.833
"206","4","0","0","0","0","1","0","0","0","0","0","0",597.965113,8.033111067,8295,128.8052383,5.44489645,0.081355202,0.201857398,12.69580344,83.774
"262","1","0","0","0","0","0","1","0","0","0","0","0",33.48,7.313225806,2030.37,0.131,0.057,0.019913341,0.049408705,1.544,89
"80","2","0","0","0","0","1","1","0","0","1","1","1",8.43,7.641,381.36,5.921780069,0.250327391,0.00374028,0.00928033,0.33,10.13
"337","2","0","0","0","0","0","0","1","0","0","0","0",189.764608,7.985208333,3674.269,57.05426089,2.411816062,0.036036274,0.089412704,11.57997569,12.618
"258","3","0","0","0","0","1","0","1","0","0","0","0",67.729976,6.985806452,2163,33.58718872,1.419808441,0.021214141,0.052636233,12.061964,2.56
"6","1","0","0","0","0","0","0","0","0","0","1","0",10.33,7.259881161,261.26,4.056860344,0.171492905,0.00256237,0.006357717,0.77,0.9588
"622","1","0","0","0","0","1","0","1","0","0","0","0",6.113,7.559333333,44.522,0.691340183,0.029224555,0.00043666,0.001083435,0.335115911,0.929
"157","4","0","0","0","0","0","0","1","0","0","0","0",10774.25,6.927096774,24250.34,376.5606778,15.91809405,0.237841024,0.590127853,143.36,6.4445
"886","3","0","0","0","0","1","1","1","0","0","1","0",187.72,7.061612903,1485.51,23.06708494,0.975099232,0.014569496,0.03614963,8.05,114.6409
"54","4","0","0","0","0","1","0","0","0","0","1","0",3127.333476,7.641,19031,295.5144653,12.4920825,0.186651096,0.463116112,59.97887398,8.41
"320","2","0","0","0","0","1","1","1","1","0","0","1",152.629,7.641,1701.323,26.41824164,1.116760405,0.016686133,0.041401403,2.27,34.534
"103","1","0","0","0","0","1","0","0","0","0","1","0",28.2286,7.641,25,0.388201442,0.016410176,0.000245193,0.000608371,0.323791,0.185
